"","SEXO","EDAD_MADN","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1",1,12,14,8,8,13,13,8,26,13,7,8
"2",1,13,137,55,43,40,47,40,21,20,12,18
"3",1,14,756,232,201,192,145,95,51,20,20,11
"4",1,15,2635,662,620,525,315,188,103,42,45,38
"5",1,16,6288,1473,1361,993,512,323,144,84,56,44
"6",1,17,10938,2586,1935,1365,770,436,193,122,71,60
"7",1,18,15693,3026,2252,1641,868,526,274,131,77,78
"8",1,19,17103,3241,2385,1846,981,583,276,147,119,97
"9",1,20,18380,3438,2547,1875,1086,595,291,172,113,86
"10",1,21,18430,3439,2572,1942,1049,661,298,146,146,102
"11",1,22,18638,3354,2392,1911,1059,657,295,138,127,95
"12",1,23,17476,3179,2246,1699,1021,591,269,178,129,110
"13",1,24,17268,3030,2162,1541,1011,559,258,163,101,103
"14",1,25,15974,2745,1981,1557,884,547,269,155,96,75
"15",1,26,15009,2561,1814,1399,809,550,258,141,86,94
"16",1,27,14550,2363,1689,1330,768,481,218,112,95,86
"17",1,28,13496,2091,1532,1165,719,457,201,110,92,86
"18",1,29,12418,1911,1423,1107,670,414,164,87,70,56
"19",1,30,11689,1752,1285,1005,637,403,155,101,63,58
"20",1,31,10047,1509,1199,900,557,351,175,94,55,46
"21",1,32,9296,1454,1026,834,496,306,131,103,60,51
"22",1,33,8048,1216,936,728,419,274,118,78,57,56
"23",1,34,6954,1107,831,648,408,250,115,53,40,43
"24",1,35,5921,901,730,558,326,216,103,58,41,30
"25",1,36,4924,821,598,462,279,201,87,53,41,26
"26",1,37,4155,708,505,394,240,187,57,46,39,27
"27",1,38,3559,671,487,331,229,152,75,30,29,24
"28",1,39,2680,513,366,329,192,127,63,31,34,20
"29",1,40,2158,440,341,266,164,89,55,36,18,15
"30",1,41,1520,353,262,188,131,64,43,22,14,13
"31",1,42,1139,244,172,173,78,72,32,12,8,8
"32",1,43,826,173,126,89,74,43,30,12,15,6
"33",1,44,514,128,109,73,52,49,19,12,10,3
"34",1,45,337,77,86,50,39,25,17,5,11,5
"35",1,46,191,51,40,32,24,8,6,6,2,5
"36",1,47,111,35,35,25,18,13,9,5,3,2
"37",1,99,1207,523,578,736,703,585,428,317,231,261
"38",2,12,21,8,12,6,13,5,19,6,6,10
"39",2,13,118,55,46,47,34,35,18,17,9,13
"40",2,14,711,218,192,231,138,84,40,33,20,17
"41",2,15,2531,603,602,535,317,207,98,41,34,29
"42",2,16,5987,1416,1310,998,551,330,157,88,61,48
"43",2,17,10629,2486,1889,1380,749,419,180,114,78,64
"44",2,18,14731,2949,2154,1571,870,578,232,129,84,79
"45",2,19,16720,3275,2379,1704,975,544,262,165,124,98
"46",2,20,17717,3256,2496,1810,1042,621,278,162,115,85
"47",2,21,17612,3418,2572,1842,1075,599,285,170,126,99
"48",2,22,17979,3380,2390,1774,1024,680,266,167,113,92
"49",2,23,17070,3204,2268,1587,986,590,283,175,124,119
"50",2,24,16768,2927,2203,1649,932,590,248,176,101,89
"51",2,25,15617,2756,1985,1441,909,556,274,171,101,73
"52",2,26,14424,2575,1859,1426,842,556,212,134,94,85
"53",2,27,13796,2276,1729,1293,766,481,185,125,85,72
"54",2,28,12916,2149,1534,1203,726,442,179,112,98,67
"55",2,29,12132,1992,1423,1051,638,367,168,122,76,59
"56",2,30,11601,1743,1276,985,597,352,160,102,73,54
"57",2,31,9958,1559,1153,890,530,329,164,80,64,54
"58",2,32,9102,1484,1004,796,487,330,155,92,48,34
"59",2,33,7770,1186,901,670,410,271,136,81,55,30
"60",2,34,6903,1045,810,651,369,248,105,56,52,31
"61",2,35,5761,918,716,575,367,219,95,59,40,27
"62",2,36,5145,808,632,475,247,170,99,45,38,34
"63",2,37,4142,700,555,368,260,169,80,32,18,29
"64",2,38,3532,564,522,376,229,159,64,29,27,21
"65",2,39,2819,544,393,310,224,126,66,29,31,24
"66",2,40,2176,414,314,263,158,118,43,25,20,17
"67",2,41,1556,352,270,207,149,73,51,18,14,16
"68",2,42,1110,255,229,170,114,59,31,20,10,7
"69",2,43,720,185,151,131,77,53,20,15,7,6
"70",2,44,542,149,97,83,61,47,17,8,7,10
"71",2,45,335,83,72,60,50,26,10,8,7,7
"72",2,46,169,52,50,41,27,12,13,6,4,2
"73",2,47,100,42,43,18,19,12,8,3,2,1
"74",2,48,77,29,27,17,21,11,4,6,1,3
"75",2,99,1179,533,545,706,633,570,393,335,249,243
