"","SEXO","EDAD_MADN","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"1",1,10,8,3,NA,NA,8,5,NA,NA,NA,NA
"2",1,11,NA,1,1,6,NA,5,NA,NA,8,6
"3",1,12,14,4,1,8,12,26,15,7,7,4
"4",1,13,92,42,27,27,50,51,37,18,19,15
"5",1,14,498,162,132,125,148,137,79,50,35,22
"6",1,15,1982,491,422,359,392,275,149,70,69,40
"7",1,16,5150,1427,867,762,755,587,255,136,101,67
"8",1,17,9500,2499,1388,1135,1135,851,399,219,138,90
"9",1,18,14939,2994,1751,1390,1488,1102,510,249,163,112
"10",1,19,16876,3453,2111,1877,1801,1315,564,280,175,128
"11",1,20,18974,3820,2571,2120,1937,1413,586,327,206,137
"12",1,21,17709,4127,2360,2099,1822,1458,571,292,180,135
"13",1,22,19927,4299,2412,1863,1809,1411,609,323,198,141
"14",1,23,19620,3929,2345,1836,1733,1362,586,268,189,134
"15",1,24,17831,3496,2016,1747,1651,1302,549,259,173,121
"16",1,25,16334,3203,1918,1614,1596,1184,532,263,171,133
"17",1,26,15231,2944,1695,1641,1452,1080,536,275,145,127
"18",1,27,14517,2863,1687,1338,1419,1068,529,286,171,162
"19",1,28,13411,2638,1541,1201,1290,977,503,248,158,102
"20",1,29,12006,2212,1237,1215,1234,908,420,212,159,96
"21",1,30,11533,1949,1267,1068,1095,837,436,229,150,105
"22",1,31,8527,1960,1108,942,961,791,361,203,150,83
"23",1,32,9766,1891,1162,989,922,798,400,225,122,77
"24",1,33,8114,1684,969,805,844,720,347,158,116,63
"25",1,34,6768,1411,796,775,737,574,288,123,94,59
"26",1,35,6364,1380,870,653,700,497,258,142,79,61
"27",1,36,5351,1219,747,619,585,411,266,110,87,42
"28",1,37,4842,1151,719,530,540,449,205,119,67,53
"29",1,38,4269,912,531,378,417,362,192,80,58,44
"30",1,39,3179,680,390,365,369,324,173,88,45,27
"31",1,40,2558,520,390,305,339,286,139,59,41,31
"32",1,41,1531,487,287,272,278,196,94,58,37,23
"33",1,42,1617,437,288,242,226,172,104,50,33,13
"34",1,43,1125,317,192,147,138,136,81,25,15,11
"35",1,44,722,197,112,121,108,93,50,17,13,14
"36",1,45,542,146,111,78,76,50,40,24,7,9
"37",1,46,280,106,73,75,52,47,23,10,11,6
"38",1,47,227,89,58,52,42,33,20,18,14,5
"39",1,48,154,56,34,35,43,29,15,7,4,NA
"40",1,49,93,39,29,25,27,18,15,8,2,5
"41",1,50,331,183,134,122,121,99,50,30,34,17
"42",1,99,1166,481,415,479,468,492,357,235,189,174
"43",2,10,7,2,NA,1,NA,NA,NA,NA,NA,NA
"44",2,11,6,NA,2,NA,NA,7,NA,NA,NA,NA
"45",2,12,15,5,7,5,14,9,12,9,8,5
"46",2,13,80,41,27,31,47,43,33,20,12,12
"47",2,14,497,163,114,146,147,146,82,41,28,20
"48",2,15,1905,559,384,359,452,276,142,86,48,48
"49",2,16,4856,1324,888,789,747,575,273,132,84,65
"50",2,17,9203,2339,1445,1112,1096,896,403,197,133,97
"51",2,18,14346,3041,1753,1455,1492,1124,458,249,165,103
"52",2,19,16329,3488,2000,1776,1742,1311,525,284,210,130
"53",2,20,18405,3740,2471,2027,2001,1537,605,316,215,152
"54",2,21,17221,3928,2458,1939,1853,1411,563,278,192,131
"55",2,22,18831,4019,2530,1903,1832,1375,622,310,199,154
"56",2,23,18902,3839,2111,1814,1808,1384,578,286,161,137
"57",2,24,17321,3417,1900,1689,1689,1312,548,258,163,117
"58",2,25,16076,3129,1928,1650,1671,1187,515,250,171,103
"59",2,26,14961,3001,1697,1523,1491,1126,516,242,179,132
"60",2,27,14606,2840,1669,1405,1337,1078,475,236,148,126
"61",2,28,13422,2631,1516,1308,1272,980,505,211,130,118
"62",2,29,11907,2340,1348,1192,1145,978,442,225,137,92
"63",2,30,11194,1902,1300,1114,1102,897,411,208,143,111
"64",2,31,8394,2017,1120,1036,1048,747,359,206,123,96
"65",2,32,9538,1889,1120,1023,984,824,414,190,128,87
"66",2,33,7985,1676,1010,856,857,670,304,146,105,71
"67",2,34,6676,1414,854,770,769,574,275,147,97,63
"68",2,35,6180,1294,838,730,694,506,271,133,77,69
"69",2,36,5343,1257,723,648,541,462,224,129,83,51
"70",2,37,4805,1093,691,502,498,446,216,102,87,42
"71",2,38,4118,978,541,452,484,366,183,93,63,41
"72",2,39,3227,712,383,410,331,337,161,83,57,37
"73",2,40,2510,559,390,331,309,284,143,60,44,34
"74",2,41,1565,495,257,293,279,187,107,62,39,30
"75",2,42,1695,448,298,210,213,191,78,54,36,23
"76",2,43,1048,312,190,161,163,138,67,37,18,11
"77",2,44,703,200,124,128,106,91,50,17,12,11
"78",2,45,506,128,114,94,78,66,33,22,13,5
"79",2,46,283,98,86,59,62,33,17,16,14,3
"80",2,47,205,96,65,45,44,31,25,10,8,3
"81",2,48,161,56,42,27,30,21,15,9,2,2
"82",2,49,82,29,30,26,24,20,10,8,7,1
"83",2,50,367,153,129,110,119,97,62,27,17,14
"84",2,99,1076,469,420,434,465,469,320,242,170,138
