"","SEXO","EDAD_MADN","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1",1,11,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"2",1,12,20,7,11,15,10,19,13,9,11,9
"3",1,13,127,53,42,46,52,53,18,9,15,8
"4",1,14,760,215,196,183,156,96,44,33,16,17
"5",1,15,2717,695,615,489,353,187,77,57,35,27
"6",1,16,6309,1628,1255,859,594,306,112,69,60,41
"7",1,17,10662,2780,1740,1206,738,362,171,95,88,53
"8",1,18,15064,3410,2133,1488,968,476,204,125,95,68
"9",1,19,16622,3606,2321,1645,1052,516,219,146,110,73
"10",1,20,17634,3644,2389,1645,1053,545,249,140,118,68
"11",1,21,17732,3674,2398,1598,1110,539,243,154,104,78
"12",1,22,17615,3651,2355,1564,1094,536,239,173,128,79
"13",1,23,17531,3468,2236,1601,1074,542,262,162,104,87
"14",1,24,16152,2991,1963,1409,984,522,208,124,100,74
"15",1,25,15847,2943,1931,1364,943,479,229,123,124,76
"16",1,26,14705,2741,1757,1249,908,456,186,117,87,63
"17",1,27,13606,2439,1636,1130,824,392,177,119,84,67
"18",1,28,13123,2239,1450,1035,737,392,173,103,80,45
"19",1,29,11911,2027,1340,953,689,340,160,103,69,45
"20",1,30,11021,1828,1177,903,646,318,148,90,52,51
"21",1,31,9732,1670,1120,755,580,299,149,71,56,40
"22",1,32,9017,1574,1010,720,559,281,135,84,48,26
"23",1,33,8523,1355,904,630,479,243,98,80,47,44
"24",1,34,6832,1168,785,528,426,241,100,72,55,39
"25",1,35,5888,1022,694,485,374,182,95,67,33,38
"26",1,36,4962,893,580,442,323,150,88,40,36,35
"27",1,37,4155,763,489,334,276,153,60,40,27,23
"28",1,38,3376,695,456,307,248,113,48,38,19,13
"29",1,39,2648,552,303,257,183,106,53,33,17,24
"30",1,40,2192,457,307,198,173,86,33,23,18,15
"31",1,41,1485,360,234,173,138,74,28,23,18,14
"32",1,42,1072,231,144,138,97,48,23,15,9,5
"33",1,43,680,199,138,101,71,37,20,7,10,6
"34",1,44,434,112,94,51,60,25,15,14,5,7
"35",1,45,303,85,80,49,28,31,14,11,9,2
"36",1,46,155,40,50,38,29,10,6,5,5,1
"37",1,47,92,45,36,13,23,18,3,5,5,2
"38",1,48,61,NA,15,10,33,10,8,5,1,NA
"39",1,49,NA,15,12,21,NA,NA,7,1,2,1
"40",1,50,166,68,78,NA,11,NA,NA,1,1,2
"41",1,99,1100,586,695,846,798,700,400,290,268,318
"42",2,11,NA,NA,3,NA,NA,4,NA,NA,NA,NA
"43",2,12,20,6,11,11,14,34,8,6,6,9
"44",2,13,121,60,44,41,46,54,22,8,11,15
"45",2,14,784,223,216,176,130,99,40,33,15,14
"46",2,15,2629,722,606,480,353,173,74,54,31,31
"47",2,16,5998,1552,1301,866,588,273,117,79,38,35
"48",2,17,10138,2827,1860,1150,713,363,184,101,74,70
"49",2,18,14409,3245,2088,1505,889,502,187,125,85,67
"50",2,19,16167,3459,2331,1520,1021,533,219,148,107,71
"51",2,20,16906,3533,2346,1615,1145,512,261,171,97,62
"52",2,21,17107,3515,2292,1626,1095,538,257,158,104,83
"53",2,22,17086,3440,2330,1616,1073,529,258,174,117,74
"54",2,23,16975,3253,2217,1511,1087,514,238,145,103,76
"55",2,24,15789,3139,2087,1476,1049,498,220,158,113,80
"56",2,25,15363,2950,1969,1409,981,480,181,121,110,94
"57",2,26,14211,2651,1828,1266,890,471,190,120,96,70
"58",2,27,13287,2410,1651,1132,822,431,218,121,94,52
"59",2,28,12866,2261,1491,1004,807,367,179,109,62,50
"60",2,29,11579,2040,1357,984,674,334,150,96,76,31
"61",2,30,10806,1745,1259,861,571,326,140,99,62,47
"62",2,31,9706,1616,1084,769,571,261,120,79,55,52
"63",2,32,8702,1506,1020,717,569,256,115,69,47,37
"64",2,33,7968,1322,932,637,525,249,118,64,48,35
"65",2,34,6749,1165,766,537,393,221,97,67,46,32
"66",2,35,5684,1030,708,470,392,194,70,44,41,19
"67",2,36,4940,849,615,404,329,145,68,36,23,21
"68",2,37,3975,784,560,358,276,144,63,32,32,21
"69",2,38,3362,601,382,314,223,121,56,39,25,14
"70",2,39,2668,557,365,225,202,88,32,24,22,9
"71",2,40,2003,425,321,228,187,91,33,29,25,10
"72",2,41,1509,381,247,177,134,57,41,22,22,16
"73",2,42,1115,277,192,153,111,52,22,13,8,13
"74",2,43,736,196,159,97,75,46,23,12,7,6
"75",2,44,505,132,93,74,56,33,18,8,7,5
"76",2,45,274,108,57,41,47,26,11,11,7,4
"77",2,46,192,53,46,36,28,14,8,5,6,2
"78",2,47,104,41,32,19,22,13,6,8,4,NA
"79",2,48,77,20,21,23,12,5,2,2,2,4
"80",2,49,NA,22,13,NA,14,12,NA,NA,3,2
"81",2,50,157,87,76,14,12,7,NA,NA,NA,NA
"82",2,99,1085,585,607,807,676,598,384,259,243,270
"83",9,99,NA,5,7,10,NA,NA,NA,NA,NA,NA
