"","SEXO","EDAD_MADN","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",1,12,24,8,5,5,6,6,1,NA,1,3
"2",1,13,162,45,31,24,20,12,14,3,2,8
"3",1,14,953,251,117,104,71,31,31,5,11,13
"4",1,15,3274,697,393,304,148,72,42,12,20,26
"5",1,16,7308,1460,732,519,254,139,77,19,18,19
"6",1,17,12092,2387,1075,689,327,162,98,21,49,43
"7",1,18,16448,2462,1103,699,378,214,141,33,43,52
"8",1,19,17162,2475,1199,770,418,224,152,37,53,69
"9",1,20,18103,2620,1245,802,433,249,106,34,67,65
"10",1,21,17571,2692,1250,780,448,254,123,32,67,65
"11",1,22,17091,2471,1135,808,479,235,140,29,59,74
"12",1,23,16220,2275,1087,702,426,259,105,31,58,69
"13",1,24,14890,2048,967,703,371,224,130,34,55,80
"14",1,25,13976,1876,930,585,352,214,107,38,53,74
"15",1,26,13277,1710,846,555,332,195,116,29,46,58
"16",1,27,12287,1635,735,542,288,198,96,25,43,59
"17",1,28,11434,1384,708,502,316,171,86,31,54,63
"18",1,29,10416,1339,651,462,249,192,93,29,57,50
"19",1,30,9729,1124,602,419,245,133,87,30,37,42
"20",1,31,8660,1087,507,369,240,132,82,30,31,60
"21",1,32,7770,972,512,317,219,138,78,23,40,40
"22",1,33,6940,941,434,285,214,104,61,15,37,46
"23",1,34,6109,779,336,229,171,92,70,15,44,38
"24",1,35,5547,700,347,251,154,74,64,21,27,28
"25",1,36,4618,558,302,217,137,90,40,15,23,50
"26",1,37,3827,519,253,173,111,70,42,19,22,32
"27",1,38,3209,424,213,165,98,60,40,7,17,26
"28",1,39,2543,336,178,146,85,48,31,13,18,17
"29",1,40,1988,295,133,114,69,48,32,5,17,23
"30",1,41,1403,211,104,71,53,37,25,12,15,15
"31",1,42,947,163,79,69,46,31,15,3,9,17
"32",1,43,583,104,46,47,21,17,9,7,5,12
"33",1,44,367,72,38,37,24,15,8,NA,3,5
"34",1,45,191,41,21,13,13,6,12,3,4,4
"35",1,46,119,27,15,16,8,NA,NA,2,3,1
"36",1,47,60,24,23,NA,9,6,3,NA,NA,1
"37",1,48,40,9,NA,NA,4,5,3,NA,2,3
"38",1,49,23,5,4,7,NA,NA,NA,NA,2,1
"39",1,50,77,9,2,5,NA,NA,NA,NA,1,NA
"40",1,99,966,396,332,280,286,239,195,116,164,217
"41",2,12,23,10,9,3,7,7,NA,2,3,NA
"42",2,13,145,50,34,23,20,15,8,4,10,8
"43",2,14,914,249,134,108,69,38,23,6,8,9
"44",2,15,3053,626,392,292,156,84,48,13,19,21
"45",2,16,7094,1476,840,529,244,127,69,18,25,23
"46",2,17,11515,2312,991,660,307,194,104,26,32,51
"47",2,18,15935,2453,1101,677,416,193,108,26,44,50
"48",2,19,16725,2550,1149,803,377,227,132,28,46,53
"49",2,20,17446,2630,1185,785,451,226,137,53,67,54
"50",2,21,17227,2511,1214,834,422,255,147,31,67,66
"51",2,22,16701,2475,1182,877,420,277,109,33,48,55
"52",2,23,15525,2182,1037,728,445,246,120,26,51,64
"53",2,24,14192,1944,995,642,367,213,108,40,51,48
"54",2,25,13721,1878,935,605,379,191,107,34,55,60
"55",2,26,12816,1748,884,628,316,193,111,30,56,50
"56",2,27,11959,1612,797,566,284,185,100,26,58,56
"57",2,28,11167,1382,779,459,310,171,80,22,39,49
"58",2,29,10223,1272,681,409,250,158,86,31,37,48
"59",2,30,9525,1174,626,412,246,132,81,25,46,61
"60",2,31,8263,1050,537,350,235,153,78,27,41,35
"61",2,32,7627,1004,461,313,221,125,70,19,37,45
"62",2,33,6842,847,412,315,194,105,74,19,31,35
"63",2,34,5993,742,367,288,175,111,49,18,36,35
"64",2,35,5280,628,350,262,160,90,66,14,31,29
"65",2,36,4548,550,301,220,134,84,52,11,24,32
"66",2,37,3744,478,257,189,122,74,39,14,30,32
"67",2,38,3264,436,222,154,87,63,39,11,23,20
"68",2,39,2504,331,170,150,87,53,28,9,19,22
"69",2,40,1886,276,161,136,84,53,33,11,20,20
"70",2,41,1331,223,126,72,64,43,31,7,8,16
"71",2,42,973,139,86,53,55,28,13,7,8,16
"72",2,43,615,112,54,45,27,22,16,2,4,4
"73",2,44,385,69,42,35,20,7,9,NA,8,8
"74",2,45,205,41,20,28,8,13,10,1,4,5
"75",2,46,97,25,14,11,11,5,3,1,4,1
"76",2,47,51,21,NA,NA,6,5,2,NA,NA,1
"77",2,48,37,15,8,NA,4,5,NA,NA,2,NA
"78",2,49,NA,10,4,6,NA,4,NA,NA,NA,NA
"79",2,50,NA,NA,NA,4,NA,4,3,NA,NA,NA
"80",2,99,850,375,319,254,275,242,184,119,171,220
